"goods_nomenclature_item_id";"regexp_replace"
"1514190000";"Other"
"1514900000";"Other"
"1514910000";"Crude oil"
"1514910000";"Other"
"1514990000";"Other"
"1515110000";"Crude oil"
"1515110000";"Linseed oil and its fractions"
"1515190000";"Other"
"1515210000";"Crude oil"
"1515210000";"Maize (corn) oil and its fractions"
"1515290000";"Other"
"1515300000";"Castor oil and its fractions"
"1515400000";"Tung oil and its fractions"
"1515500000";"Sesame oil and its fractions"
"1515600000";"Jojoba oil and its fractions"
"1515900000";"Other"
"1516100000";"Animal fats and oils and their fractions"
"1516200000";"Vegetable fats and oils and their fractions"
"1517100000";"Margarine, excluding liquid margarine"
"1517900000";"Other"
"1519110000";"Industrial monocarboxylic fatty acids"
"1519110000";"Industrial monocarboxylic fatty acids; acid oils from refining"
"1519110000";"Stearic acid"
"1519120000";"Oleic acid"
"1519130000";"Tall oil fatty acids"
"1519190000";"Other"
"1519200000";"Acid oils from refining"
"1519200000";"Industrial fatty alcohols"
"1519300000";"Industrial fatty alcohols"
"1520100000";"Glycerol (glycerine), crude; glycerol waters and glycerol lyes"
"1520900000";"Other, including synthetic glycerol"
"1521100000";"Vegetable waxes"
"1521900000";"Other"
"1602100000";"Homogenised preparations"
"1602200000";"Of liver of any animal"
"1602310000";"Of poultry of heading|0105"
"1602310000";"Of turkeys"
"1602320000";"Of fowls of the species Gallus domesticus"
"1602390000";"Other"
"1602410000";"Hams and cuts thereof"
"1602410000";"Of swine"
"1602420000";"Shoulders and cuts thereof"
"1602490000";"Other, including mixtures"
"1602500000";"Of bovine animals"
"1602900000";"Other, including preparations of blood of any animal"
"1604110000";"Fish, whole or in pieces, but not minced"
"1604110000";"Salmon"
"1604120000";"Herring"
"1604130000";"Sardines, sardinella and brisling or sprats"
"1604140000";"Tuna, skipjack and bonito (Sarda spp.)"
"1604140000";"Tuna, skipjack and bonito (Sarda|spp.)"
"1604140000";"Tunas, skipjack and bonito (Sarda spp.)"
"1604150000";"Mackerel"
"1604160000";"Anchovies"
"1604170000";"Eels"
"1604180000";"Shark fins"
"1604190000";"Other"
"1604200000";"Other prepared or preserved fish"
"1604300000";"Caviar and caviar substitutes"
"1604310000";"Caviar"
"1604310000";"Caviar and caviar substitutes"
"1604320000";"Caviar substitutes"
"1605100000";"Crab"
"1605200000";"Shrimps and prawns"
"1605210000";"Not in airtight containers"
"1605210000";"Shrimps and prawns"
"1605290000";"Other"
"1605300000";"Lobster"
"1605400000";"Other crustaceans"
"1605510000";"Molluscs"
"1605510000";"Oysters"
"1605520000";"Scallops, including queen scallops"
"1605530000";"Mussels"
"1605540000";"Cuttlefish and squid"
"1605550000";"Octopus"
"1605560000";"Clams, cockles and arkshells"
"1605570000";"Abalone"
"1605580000";"Snails, other than sea snails"
"1605590000";"Other"
"1605610000";"Other aquatic invertebrates"
"1605610000";"Sea cucumbers"
"1605620000";"Sea urchins"
"1605630000";"Jellyfish"
"1605690000";"Other"
"1605900000";"Other"
"1701110000";"Cane sugar"
"1701110000";"Raw sugar not containing added flavouring or colouring matter"
"1701120000";"Beet sugar"
"1701120000";"Raw sugar not containing added flavouring or colouring matter"
"1701130000";"Cane sugar specified in subheading note 2 to this chapter"
"1701130000";"Cane sugar specified in subheading note|2|to this chapter"
"1701140000";"Other cane sugar"
"1701910000";"Containing added flavouring or colouring matter"
"1701910000";"Other"
"1701990000";"Other"
"1702100000";"Lactose and lactose syrup"
"1702110000";"Containing by weight 99|% or more lactose, expressed as anhydrous lactose, calculated on the dry matter"
"1702110000";"Lactose and lactose syrup"
"1702190000";"Other"
"1702200000";"Maple sugar and maple syrup"
"1702300000";"Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20|% by weight of fructose"
"1702400000";"Glucose and glucose syrup, containing in the dry state at least 20|% but less than 50|% by weight of fructose"
"1702400000";"Glucose and glucose syrup, containing in the dry state at least 20|% but less than 50|% by weight of fructose, excluding invert sugar"
"1702500000";"Chemically pure fructose"
"1702600000";"Other fructose and fructose syrup, containing in the dry state more than 50|% by weight of fructose"
"1702600000";"Other fructose and fructose syrup, containing in the dry state more than 50|% by weight of fructose, excluding invert sugar"
"1702900000";"Other, including invert sugar"
"1702900000";"Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50|% by weight of fructose"
"1703100000";"Cane molasses"
"1703900000";"Other"
"1704100000";"Chewing gum, whether or not sugar-coated"
"1704900000";"Other"
"1803100000";"Not defatted"
"1803200000";"Wholly or partly defatted"
"1806100000";"Cocoa powder, containing added sugar or other sweetening matter"
"1806200000";"Other preparations in blocks, slabs or bars weighing more than 2|kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, of a content exceeding 2|kg"
"1806310000";"Filled"
"1806310000";"Other, in blocks, slabs or bars"
"1806320000";"Not filled"
"1806900000";"Other"
"1901100000";"Preparations for infant use, put up for retail sale"
"1901100000";"Preparations suitable for infants or young children, put up for retail sale"
"1901200000";"Mixes and doughs for the preparation of bakers' wares of heading|1905"
"1901900000";"Other"
"1902110000";"Containing eggs"
"1902110000";"Uncooked pasta, not stuffed or otherwise prepared"
"1902190000";"Other"
"1902200000";"Stuffed pasta, whether or not cooked or otherwise prepared"
"1902300000";"Other pasta"
"1902400000";"Couscous"
"1904100000";"Prepared foods obtained by the swelling or roasting of cereals or cereal products"
"1904200000";"Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals"
"1904300000";"Bulgur wheat"
"1904900000";"Other"
"1905100000";"Crispbread"
"1905200000";"Gingerbread and the like"
"1905300000";"Sweet biscuits; waffles and wafers"
"1905310000";"Sweet biscuits"
"1905310000";"Sweet biscuits; waffles and wafers"
"1905320000";"Waffles and wafers"
"1905400000";"Rusks, toasted bread and similar toasted products"
"1905900000";"Other"
"2001100000";"Cucumbers and gherkins"
"2001200000";"Onions"
"2001900000";"Other"
"2002100000";"Tomatoes, whole or in pieces"
"2002900000";"Other"
"2003100000";"Mushrooms"
"2003100000";"Mushrooms of the genus Agaricus"
"2003200000";"Truffles"
"2003900000";"Other"
"2004100000";"Potatoes"
"2004900000";"Other vegetables and mixtures of vegetables"
"2005100000";"Homogenised vegetables"
"2005200000";"Potatoes"
"2005300000";"Sauerkraut"
"2005400000";"Peas (Pisum sativum)"
"2005510000";"Beans (Vigna spp., Phaseolus spp.)"
"2005510000";"Beans, shelled"
"2005590000";"Other"
"2005600000";"Asparagus"
"2005700000";"Olives"
"2005800000";"Sweetcorn (Zea mays var. saccharata)"
"2005900000";"Other vegetables and mixtures of vegetables"
"2005910000";"Bamboo shoots"
"2005910000";"Other vegetables and mixtures of vegetables"
"2005990000";"Other"
"2007100000";"Homogenised preparations"
"2007910000";"Citrus fruit"
"2007910000";"Other"
"2007990000";"Other"
"2008110000";"Ground-nuts"
"2008110000";"Groundnuts"
"2008110000";"Nuts, ground-nuts and other seeds, whether or not mixed together"
"2008110000";"Nuts, groundnuts and other seeds, whether or not mixed together"
"2008190000";"Other, including mixtures"
"2008200000";"Pineapples"
"2008300000";"Citrus fruit"
"2008400000";"Pears"
"2008500000";"Apricots"
"2008600000";"Cherries"
"2008700000";"Peaches"
"2008700000";"Peaches, including nectarines"
"2008800000";"Strawberries"
"2008910000";"Other, including mixtures other than those of subheading 2008|19"
"2008910000";"Other, including mixtures other than those of subheading|2008|19"
"2008910000";"Palm hearts"
"2008920000";"Mixtures"
"2008930000";"Cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea)"
"2008970000";"Mixtures"
"2008990000";"Other"
"2009110000";"Frozen"
"2009110000";"Orange juice"
"2009120000";"Not frozen, of a Brix value not exceeding 20"
"2009190000";"Other"
"2009200000";"Grapefruit juice"
"2009210000";"Grapefruit (including pomelo) juice"
"2009210000";"Grapefruit juice"
"2009210000";"Of a Brix value not exceeding 20"
"2009290000";"Other"
"2009300000";"Juice of any other single citrus fruit"
"2009310000";"Juice of any other single citrus fruit"
"2009310000";"Of a Brix value not exceeding 20"
"2009390000";"Other"
"2009400000";"Pineapple juice"
"2009410000";"Of a Brix value not exceeding 20"
"2009410000";"Pineapple juice"
"2009490000";"Other"
"2009500000";"Tomato juice"
"2009600000";"Grape juice (including grape must)"
"2009610000";"Grape juice (including grape must)"
"2009610000";"Of a Brix value not exceeding 30"
"2009690000";"Other"
"2009700000";"Apple juice"
"2009710000";"Apple juice"
"2009710000";"Of a Brix value not exceeding 20"
"2009790000";"Other"
"2009800000";"Juice of any other single fruit or vegetable"
"2009810000";"Cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea) juice"
"2009810000";"Juice of any other single fruit or vegetable"
"2009890000";"Other"
"2009900000";"Mixtures of juices"
"2101100000";"Extracts, essences and concentrates, of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee"
"2101110000";"Extracts, essences and concentrates"
"2101110000";"Extracts, essences and concentrates, of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee"
"2101120000";"Preparations with a basis of these extracts, essences or concentrates or with a basis of coffee"
"2101200000";"Extracts, essences and concentrates, of tea or maté, and preparations with a basis of these extracts, essences or concentrates, or with a basis of tea or maté"
"2101300000";"Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof"
"2102100000";"Active yeasts"
"2102200000";"Inactive yeasts; other single-cell micro-organisms, dead"
"2102300000";"Prepared baking powders"
"2103100000";"Soya sauce"
"2103200000";"Tomato ketchup and other tomato sauces"
"2103300000";"Mustard flour and meal and prepared mustard"
"2103900000";"Other"
"2104100000";"Soups and broths and preparations therefor"
"2104200000";"Homogenised composite food preparations"
"2106100000";"Protein concentrates and textured protein substances"
"2106900000";"Other"
"2201100000";"Mineral waters and aerated waters"
"2201900000";"Other"
"2202100000";"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured"
"2202900000";"Other"
"2202910000";"Non-alcoholic beer"
"2202910000";"Other"
"2202990000";"Other"
"2204100000";"Sparkling wine"
"2204210000";"In containers holding 2|litres or less"
"2204210000";"Other wine; grape must with fermentation prevented or arrested by the addition of alcohol"
"2204220000";"In containers holding more than 2|litres but not more than 10|litres"
"2204290000";"Other"
"2204300000";"Other grape must"
"2205100000";"In containers holding 2|litres or less"
"2205900000";"Other"
"2207100000";"Undenatured ethyl alcohol of an alcoholic strength by volume of 80|%|vol or higher"
"2207200000";"Ethyl alcohol and other spirits, denatured, of any strength"
"2208100000";"Compound alcoholic preparations of a kind used for the manufacture of beverages"
"2208200000";"Spirits obtained by distilling grape wine or grape marc"
"2208300000";"Whiskies"
"2208400000";"Rum and other spirits obtained by distilling fermented sugar-cane products"
"2208400000";"Rum and tafia"
"2208500000";"Gin and Geneva"
"2208600000";"Vodka"
"2208700000";"Liqueurs and cordials"
"2208900000";"Other"
"2301100000";"Flours, meals and pellets, of meat or meat offal; greaves"
"2301200000";"Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates"
"2302100000";"Of maize (corn)"
"2302200000";"Of rice"
"2302300000";"Of wheat"
"2302400000";"Of other cereals"
"2302500000";"Of leguminous plants"
"2303100000";"Residues of starch manufacture and similar residues"
"2303200000";"Beet-pulp, bagasse and other waste of sugar manufacture"
"2303300000";"Brewing or distilling dregs and waste"
"2306100000";"Of cotton seeds"
"2306200000";"Of linseed"
"2306300000";"Of sunflower seeds"
"2306400000";"Of rape or colza seeds"
"2306410000";"Of low erucic acid rape or colza seeds"
"2306410000";"Of rape or colza seeds"
"2306490000";"Other"
"2306500000";"Of coconut or copra"
"2306600000";"Of palm nuts or kernels"
"2306700000";"Of maize (corn) germ"
"2306900000";"Other"
"2308100000";"Acorns and horse-chestnuts"
"2308900000";"Other"
"2309100000";"Dog or cat food, put up for retail sale"
"2309900000";"Other"
"2401100000";"Tobacco, not stemmed/stripped"
"2401200000";"Tobacco, partly or wholly stemmed/stripped"
"2401300000";"Tobacco refuse"
"2402100000";"Cigars, cheroots and cigarillos, containing tobacco"
"2402200000";"Cigarettes containing tobacco"
"2402900000";"Other"
"2403100000";"Smoking tobacco, whether or not containing tobacco substitutes in any proportion"
"2403110000";"Smoking tobacco, whether or not containing tobacco substitutes in any proportion"
"2403110000";"Water-pipe tobacco specified in subheading note 1 to this chapter"
"2403110000";"Water-pipe tobacco specified in subheading note|1|to this chapter"
"2403190000";"Other"
"2403910000";"'Homogenised' or 'reconstituted' tobacco"
"2403910000";"Other"
"2403990000";"Other"
"2503100000";"Crude or unrefined sulphur"
"2503900000";"Other"
"2504100000";"In powder or in flakes"
"2504900000";"Other"
"2505100000";"Silica sands and quartz sands"
"2505900000";"Other"
"2506100000";"Quartz"
"2506200000";"Quartzite"
"2506210000";"Crude or roughly trimmed"
"2506210000";"Quartzite"
"2506290000";"Other"
"2508100000";"Bentonite"
"2508200000";"Decolorising earths and fuller's earth"
"2508300000";"Fireclay"
"2508400000";"Other clays"
"2508500000";"Andalusite, kyanite and sillimanite"
"2508600000";"Mullite"
"2508700000";"Chamotte or dinas earths"
"2510100000";"Unground"
"2510200000";"Ground"
"2511100000";"Natural barium sulphate (barytes)"
"2511200000";"Natural barium carbonate (witherite)"
"2513100000";"Pumice stone"
"2513110000";"Crude or in irregular pieces, including crushed pumice (""bimskies"")"
"2513110000";"Pumice stone"
"2513190000";"Other"
"2513200000";"Emery, natural corundum, natural garnet and other natural abrasives"
"2513210000";"Crude or in irregular pieces"
"2513210000";"Emery, natural corundum, natural garnet and other natural abrasives"
"2513290000";"Other"
"2515110000";"Crude or roughly trimmed"
"2515110000";"Marble and travertine"
"2515120000";"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape"
"2515200000";"Ecaussine and other calcareous monumental or building stone; alabaster"
"2516110000";"Crude or roughly trimmed"
"2516110000";"Granite"
"2516120000";"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape"
"2516200000";"Sandstone"
"2516210000";"Crude or roughly trimmed"
"2516210000";"Sandstone"
"2516220000";"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape"
"2516900000";"Other monumental or building stone"
"2517100000";"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated"
"2517200000";"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 2517|10"
"2517200000";"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading|2517|10"
"2517300000";"Tarred macadam"
"2517410000";"Granules, chippings and powder, of stones of heading|2515|or 2516, whether or not heat-treated"
"2517410000";"Of marble"
"2517490000";"Other"
"2518100000";"Dolomite, not calcined or sintered"
"2518200000";"Calcined or sintered dolomite"
"2518300000";"Dolomite ramming mix"
"2519100000";"Natural magnesium carbonate (magnesite)"
"2519900000";"Other"
"2520100000";"Gypsum; anhydrite"
"2520200000";"Plasters"
"2522100000";"Quicklime"
"2522200000";"Slaked lime"
"2522300000";"Hydraulic lime"
"2523100000";"Cement clinkers"
"2523210000";"Portland cement"
"2523210000";"White cement, whether or not artificially coloured"
"2523290000";"Other"
"2523300000";"Aluminous cement"
"2523900000";"Other hydraulic cements"
"2524100000";"Crocidolite"
"2524900000";"Other"
"2525100000";"Crude mica and mica rifted into sheets or splittings"
"2525200000";"Mica powder"
"2525300000";"Mica waste"
"2526100000";"Not crushed, not powdered"
"2526200000";"Crushed or powdered"
"2528100000";"Natural sodium borates"
"2528100000";"Natural sodium borates and concentrates thereof (whether or not calcined)"
"2528900000";"Other"
"2529100000";"Feldspar"
"2529210000";"Containing by weight 97|% or less of calcium fluoride"
"2529210000";"Fluorspar"
"2529220000";"Containing by weight more than 97|% of calcium fluoride"
"2529300000";"Leucite; nepheline and nepheline syenite"
"2530100000";"Vermiculite, perlite and chlorites, unexpanded"
"2530200000";"Kieserite, epsomite (natural magnesium sulphates)"
"2530300000";"Earth colours"
"2530400000";"Natural micaceous iron oxides"
"2530900000";"Other"
"2601110000";"Iron ores and concentrates, other than roasted iron pyrites"
"2601110000";"Non-agglomerated"
"2601120000";"Agglomerated"
"2601200000";"Roasted iron pyrites"
"2612100000";"Uranium ores and concentrates"
"2612200000";"Thorium ores and concentrates"
"2613100000";"Roasted"
"2613900000";"Other"
"2615100000";"Zirconium ores and concentrates"
"2615900000";"Other"
"2616100000";"Silver ores and concentrates"
"2616900000";"Other"
"2617100000";"Antimony ores and concentrates"
"2617900000";"Other"
"2620110000";"Containing mainly zinc"
"2620110000";"Hard zinc spelter"
"2620190000";"Other"
"2620200000";"Containing mainly lead"
"2620210000";"Containing mainly lead"
"2620210000";"Leaded gasoline sludges and leaded anti-knock compound sludges"
"2620290000";"Other"
"2620300000";"Containing mainly copper"
"2620400000";"Containing mainly aluminium"
"2620500000";"Containing mainly vanadium"
"2620600000";"Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds"
"2620900000";"Other"
"2620910000";"Containing antimony, beryllium, cadmium, chromium or their mixtures"
"2620910000";"Other"
"2620990000";"Other"
"2621100000";"Ash and residues from the incineration of municipal waste"
"2621900000";"Other"
"2701110000";"Anthracite"
"2701110000";"Coal, whether or not pulverised, but not agglomerated"
"2701120000";"Bituminous coal"
"2701190000";"Other coal"
"2701200000";"Briquettes, ovoids and similar solid fuels manufactured from coal"
"2702100000";"Lignite, whether or not pulverised, but not agglomerated"
"2702200000";"Agglomerated lignite"
"2707100000";"Benzol (benzene)"
"2707100000";"Benzole"
"2707200000";"Toluol (toluene)"
"2707200000";"Toluole"
"2707300000";"Xylol (xylenes)"
"2707300000";"Xylole"
"2707400000";"Naphthalene"
"2707500000";"Other aromatic hydrocarbon mixtures of which 65|% or more by volume (including losses) distils at 250|°C by the ASTM|D|86|method"
"2707500000";"Other aromatic hydrocarbon mixtures of which 65|% or more by volume (including losses) distils at 250|°C by the ISO 3405|method (equivalent to the ASTM|D|86|method)"
"2707600000";"Phenols"
"2707910000";"Creosote oils"
"2707910000";"Other"
"2707990000";"Other"
"2708100000";"Pitch"
"2708200000";"Pitch coke"
"2710110000";"Light oils and preparations"
"2710110000";"Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70|% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than waste oils"
"2710120000";"Light oils and preparations"
"2710120000";"Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils"
"2710120000";"Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70|% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils"
"2710190000";"Other"
"2710200000";"Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70|% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, containing biodiesel, other than waste oils"
"2710910000";"Containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)"
"2710910000";"Waste oils"
"2710990000";"Other"
"2711110000";"Liquefied"
"2711110000";"Natural gas"
"2711120000";"Propane"
"2711130000";"Butanes"
"2711140000";"Ethylene, propylene, butylene and butadiene"
"2711190000";"Other"
"2711210000";"In gaseous state"
"2711210000";"Natural gas"
"2711290000";"Other"
"2712100000";"Petroleum jelly"
"2712200000";"Paraffin wax containing by weight less than 0,75|% of oil"
"2712900000";"Other"
"2713110000";"Not calcined"
"2713110000";"Petroleum coke"
"2713120000";"Calcined"
"2713200000";"Petroleum bitumen"
"2713900000";"Other residues of petroleum oils or of oils obtained from bituminous minerals"
"2714100000";"Bituminous or oil-shale and tar sands"
"2714900000";"Other"
"2801100000";"Chlorine"
"2801200000";"Iodine"
"2801300000";"Fluorine; bromine"
"2804100000";"Hydrogen"
"2804210000";"Argon"
"2804210000";"Rare gases"
"2804290000";"Other"
"2804300000";"Nitrogen"
"2804400000";"Oxygen"
"2804500000";"Boron; tellurium"
"2804610000";"Containing by weight not less than 99,99|% of silicon"
"2804610000";"Silicon"
"2804690000";"Other"
"2804700000";"Phosphorus"
"2804800000";"Arsenic"
"2804900000";"Selenium"
"2805110000";"Alkali metals"
"2805110000";"Alkali or alkaline-earth metals"
"2805110000";"Sodium"
"2805120000";"Calcium"
"2805190000";"Other"
"2805210000";"Alkaline-earth metals"
"2805210000";"Calcium"
"2805220000";"Strontium and barium"
"2805300000";"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed"
"2805400000";"Mercury"
"2806100000";"Hydrogen chloride (hydrochloric acid)"
"2806200000";"Chlorosulphuric acid"
"2809100000";"Diphosphorus pentaoxide"
"2809200000";"Phosphoric acid and polyphosphoric acids"
"2811110000";"Hydrogen fluoride (hydrofluoric acid)"
"2811110000";"Other inorganic acids"
"2811120000";"Hydrogen cyanide (hydrocyanic acid)"
"2811190000";"Other"
"2811210000";"Carbon dioxide"
"2811210000";"Other inorganic oxygen compounds of non-metals"
"2811220000";"Silicon dioxide"
"2811230000";"Sulphur dioxide"
"2811290000";"Other"
"2812100000";"Chlorides and chloride oxides"
"2812110000";"Carbonyl dichloride (phosgene)"
"2812110000";"Chlorides and chloride oxides"
"2812120000";"Phosphorus oxychloride"
"2812130000";"Phosphorus trichloride"
"2812140000";"Phosphorus pentachloride"
"2812150000";"Sulphur monochloride"
"2812160000";"Sulphur dichloride"
"2812170000";"Thionyl chloride"
"2812190000";"Other"
"2812900000";"Other"
"2813100000";"Carbon disulphide"
"2813900000";"Other"
"2814100000";"Anhydrous ammonia"
"2814200000";"Ammonia in aqueous solution"
"2815110000";"Sodium hydroxide (caustic soda)"
"2815110000";"Solid"
"2815120000";"In aqueous solution (soda lye or liquid soda)"
"2815200000";"Potassium hydroxide (caustic potash)"
"2815300000";"Peroxides of sodium or potassium"
"2816100000";"Hydroxide and peroxide of magnesium"
"2816200000";"Oxide, hydroxide and peroxide of strontium"
"2816300000";"Oxide, hydroxide and peroxide of barium"
"2816400000";"Oxides, hydroxides and peroxides, of strontium or barium"
"2818100000";"Artificial corundum"
"2818100000";"Artificial corundum, whether or not chemically defined"
"2818200000";"Aluminium oxide, other than artificial corundum"
"2818200000";"Other aluminium oxide"
"2818300000";"Aluminium hydroxide"
"2819100000";"Chromium trioxide"
"2819900000";"Other"
"2820100000";"Manganese dioxide"
"2820900000";"Other"
"2821100000";"Iron oxides and hydroxides"
"2821200000";"Earth colours"
"2824100000";"Lead monoxide (litharge, massicot)"
"2824200000";"Red lead and orange lead"
"2824900000";"Other"
"2825100000";"Hydrazine and hydroxylamine and their inorganic salts"
"2825200000";"Lithium oxide and hydroxide"
"2825300000";"Vanadium oxides and hydroxides"
"2825400000";"Nickel oxides and hydroxides"
"2825500000";"Copper oxides and hydroxides"
"2825600000";"Germanium oxides and zirconium dioxide"
"2825700000";"Molybdenum oxides and hydroxides"
"2825800000";"Antimony oxides"
"2825900000";"Other"
"2826110000";"Fluorides"
"2826110000";"Of ammonium or of sodium"
"2826120000";"Fluorides"
"2826120000";"Of aluminium"
"2826190000";"Other"
"2826200000";"Fluorosilicates of sodium or of potassium"
"2826300000";"Sodium hexafluoroaluminate (synthetic cryolite)"
"2826900000";"Other"
"2827100000";"Ammonium chloride"
"2827200000";"Calcium chloride"
"2827310000";"Of magnesium"
"2827310000";"Other chlorides"
"2827320000";"Of aluminium"
"2827330000";"Of iron"
"2827340000";"Of cobalt"
"2827350000";"Of nickel"
"2827360000";"Of zinc"
"2827370000";"Of tin"
"2827380000";"Of barium"
"2827390000";"Other"
"2827410000";"Chloride oxides and chloride hydroxides"
"2827410000";"Of copper"
"2827490000";"Other"
"2827510000";"Bromides and bromide oxides"
"2827510000";"Bromides of sodium or of potassium"
"2827590000";"Other"
"2827600000";"Iodides and iodide oxides"
"2828100000";"Commercial calcium hypochlorite and other calcium hypochlorites"
"2828900000";"Other"
"2829110000";"Chlorates"
"2829110000";"Of sodium"
"2829190000";"Other"
"2829900000";"Other"
"2830100000";"Sodium sulphides"
"2830200000";"Zinc sulphide"
"2830300000";"Cadmium sulphide"
"2830900000";"Other"
"2831100000";"Of sodium"
"2831900000";"Other"
"2832100000";"Sodium sulphites"
"2832200000";"Other sulphites"
"2832300000";"Thiosulphates"
"2833110000";"Disodium sulphate"
"2833110000";"Sodium sulphates"
"2833190000";"Other"
"2833210000";"Of magnesium"
"2833210000";"Other sulphates"
"2833220000";"Of aluminium"
"2833230000";"Of chromium"
"2833240000";"Of nickel"
"2833250000";"Of copper"
"2833260000";"Of zinc"
"2833270000";"Of barium"
"2833290000";"Other"
"2833300000";"Alums"
"2833400000";"Peroxosulphates (persulphates)"
"2834100000";"Nitrites"
"2834210000";"Nitrates"
"2834210000";"Of potassium"
"2834220000";"Of bismuth"
"2834290000";"Other"
"2835100000";"Phosphinates (hypophosphites) and phosphonates (phosphites)"
"2835210000";"Of triammonium"
"2835220000";"Of mono- or disodium"
"2835220000";"Phosphates"
"2835230000";"Of trisodium"
"2835240000";"Of potassium"
"2835250000";"Calcium hydrogenorthophosphate ('dicalcium phosphate')"
"2835250000";"Calcium hydrogenorthophosphate (""dicalcium phosphate"")"
"2835260000";"Other phosphates of calcium"
"2835290000";"Other"
"2835310000";"Polyphosphates"
"2835310000";"Sodium triphosphate (sodium tripolyphosphate)"
"2835390000";"Other"
"2836100000";"Commercial ammonium carbonate and other ammonium carbonates"
"2836200000";"Disodium carbonate"
"2836300000";"Sodium hydrogencarbonate (sodium bicarbonate)"
"2836400000";"Potassium carbonates"
"2836500000";"Calcium carbonate"
"2836600000";"Barium carbonate"
"2836700000";"Lead carbonates"
"2836910000";"Lithium carbonates"
"2836910000";"Other"
"2836920000";"Strontium carbonate"
"2836930000";"Bismuth carbonate"
"2836990000";"Other"
"2837110000";"Cyanides and cyanide oxides"
"2837110000";"Of sodium"
"2837190000";"Other"
"2837200000";"Complex cyanides"
"2839110000";"Of sodium"
"2839110000";"Sodium metasilicates"
"2839190000";"Other"
"2839200000";"Of potassium"
"2839900000";"Other"
"2840110000";"Anhydrous"
"2840110000";"Disodium tetraborate (refined borax)"
"2840190000";"Other"
"2840200000";"Other borates"
"2840300000";"Peroxoborates (perborates)"
"2841100000";"Aluminates"
"2841200000";"Chromates of zinc or of lead"
"2841300000";"Sodium dichromate"
"2841400000";"Potassium dichromate"
"2841500000";"Other chromates and dichromates; peroxochromates"
"2841600000";"Manganites, manganates and permanganates"
"2841610000";"Manganites, manganates and permanganates"
"2841610000";"Potassium permanganate"
"2841690000";"Other"
"2841700000";"Molybdates"
"2841800000";"Tungstates (wolframates)"
"2841900000";"Other"
"2842100000";"Double or complex silicates"
"2842100000";"Double or complex silicates, including aluminosilicates whether or not chemically defined"
"2842900000";"Other"
"2843100000";"Colloidal precious metals"
"2843210000";"Silver compounds"
"2843210000";"Silver nitrate"
"2843290000";"Other"
"2843300000";"Gold compounds"
"2843900000";"Other compounds; amalgams"
"2844100000";"Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds"
"2844200000";"Uranium enriched in U|235|and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U|235, plutonium or compounds of these products"
"2844300000";"Uranium depleted in U|235|and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U|235, thorium or compounds of these products"
"2844400000";"Radioactive elements and isotopes and compounds other than those of subheading No 2844,10, 2844,20|or 2844,30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues"
