SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3632008,[122] Non preferential tariff quota,0204230091,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631957,[122] Non preferential tariff quota,0204230099,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631983,[122] Non preferential tariff quota,0204230099,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632035,[122] Non preferential tariff quota,0204230099,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632061,[122] Non preferential tariff quota,0204230099,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632009,[122] Non preferential tariff quota,0204230099,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632119,[122] Non preferential tariff quota,0204230099,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632145,[122] Non preferential tariff quota,0204230099,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632010,[122] Non preferential tariff quota,0204300000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631984,[122] Non preferential tariff quota,0204300000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632146,[122] Non preferential tariff quota,0204300000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631958,[122] Non preferential tariff quota,0204300000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632036,[122] Non preferential tariff quota,0204300000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632120,[122] Non preferential tariff quota,0204300000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632062,[122] Non preferential tariff quota,0204300000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632063,[122] Non preferential tariff quota,0204410000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631985,[122] Non preferential tariff quota,0204410000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632147,[122] Non preferential tariff quota,0204410000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632121,[122] Non preferential tariff quota,0204410000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631959,[122] Non preferential tariff quota,0204410000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632011,[122] Non preferential tariff quota,0204410000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632037,[122] Non preferential tariff quota,0204410000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632012,[122] Non preferential tariff quota,0204420000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631960,[122] Non preferential tariff quota,0204420000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631986,[122] Non preferential tariff quota,0204420000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632148,[122] Non preferential tariff quota,0204420000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632038,[122] Non preferential tariff quota,0204420000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632122,[122] Non preferential tariff quota,0204420000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632064,[122] Non preferential tariff quota,0204420000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631987,[122] Non preferential tariff quota,0204431000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632013,[122] Non preferential tariff quota,0204431000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632065,[122] Non preferential tariff quota,0204431000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632123,[122] Non preferential tariff quota,0204431000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631961,[122] Non preferential tariff quota,0204431000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632039,[122] Non preferential tariff quota,0204431000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632149,[122] Non preferential tariff quota,0204431000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632040,[122] Non preferential tariff quota,0204439000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632124,[122] Non preferential tariff quota,0204439000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631962,[122] Non preferential tariff quota,0204439000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632014,[122] Non preferential tariff quota,0204439000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631988,[122] Non preferential tariff quota,0204439000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632150,[122] Non preferential tariff quota,0204439000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632066,[122] Non preferential tariff quota,0204439000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632151,[122] Non preferential tariff quota,0204501100,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632015,[122] Non preferential tariff quota,0204501100,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
